year,source,pronoun,frequency,,pronoun_prop
1773,The Virginia Gazette,us,25.12562814070352,,Us
1774,The South Carolina Gazette,us,19.854401058901388,,Us
1774,The Virginia Gazette,us,45.21963824289406,,Us
1775,The South Carolina Gazette,us,0,,Us
1775,The Virginia Gazette,us,19.44264419961115,,Us
1732,The South Carolina Gazette,our,23.31002331002331,,Our
1733,The South Carolina Gazette,our,70.53716766,,Our
1734,The South Carolina Gazette,our,0,,Our
1735,The South Carolina Gazette,our,7.704160246533128,,Our
1736,The South Carolina Gazette,our,11.481056257175661,,Our
1736,The Virginia Gazette,our,47.56242568370987,,Our
1737,The South Carolina Gazette,our,12.690355329949238,,Our
1737,The Virginia Gazette,our,4.474272931,,Our
1738,The South Carolina Gazette,our,4.384042086804033,,Our
1738,The Virginia Gazette,our,2.8011204481792715,,Our
1739,The South Carolina Gazette,our,126.58227848101265,,Our
1739,The Virginia Gazette,our,13.271400132714001,,Our
1740,The South Carolina Gazette,our,63.52087114337568,,Our
1741,The South Carolina Gazette,our,0,,Our
1742,The South Carolina Gazette,our,38.13155386081983,,Our
1743,The South Carolina Gazette,our,4.1067761806981515,,Our
1744,The South Carolina Gazette,our,30.16591252,,Our
1745,The South Carolina Gazette,our,22.624434389140273,,Our
1745,The Virginia Gazette,our,34.96503496503497,,Our
1746,The South Carolina Gazette,our,55.97014925373134,,Our
1746,The Virginia Gazette,our,34.44881889763779,,Our
1747,The South Carolina Gazette,our,26.962252846015577,,Our
1748,The South Carolina Gazette,our,28.602073650339648,,Our
1749,The South Carolina Gazette,our,0,,Our
1750,The South Carolina Gazette,our,90.49773755656109,,Our
1751,The South Carolina Gazette,our,0,,Our
1751,The Virginia Gazette,our,0,,Our
1752,The South Carolina Gazette,our,0,,Our
1752,The Virginia Gazette,our,13.020833333333332,,Our
1753,The South Carolina Gazette,our,31.25,,Our
1754,The South Carolina Gazette,our,0,,Our
1754,The Virginia Gazette,our,0,,Our
1755,The South Carolina Gazette,our,121.95121951219512,,Our
1755,The Virginia Gazette,our,32.20611916,,Our
1756,The South Carolina Gazette,our,11.17318436,,Our
1756,The Virginia Gazette,our,0,,Our
1757,The South Carolina Gazette,our,40.080160320641276,,Our
1759,The South Carolina Gazette,our,16.01708489054992,,Our
1760,The South Carolina Gazette,our,38.91050583657588,,Our
1761,The South Carolina Gazette,our,0,,Our
1761,The Virginia Gazette,our,0,,Our
1762,The South Carolina Gazette,our,37.473233404710925,,Our
1763,The South Carolina Gazette,our,55.749128919860624,,Our
1764,The South Carolina Gazette,our,72.85974499089254,,Our
1765,The South Carolina Gazette,our,11.037527593818984,,Our
1766,The South Carolina Gazette,our,21.06371775,,Our
1766,The Virginia Gazette,our,46.28369180506398,,Our
1767,The South Carolina Gazette,our,52.08333333333333,,Our
1767,The Virginia Gazette,our,26.857654431512984,,Our
1768,The South Carolina Gazette,our,0,,Our
1768,The Virginia Gazette,our,24.928774928774928,,Our
1769,The South Carolina Gazette,our,9.832841691248772,,Our
1769,The Virginia Gazette,our,0,,Our
1770,The South Carolina Gazette,our,0,,Our
1770,The Virginia Gazette,our,120,,Our
1771,The South Carolina Gazette,our,84.66603951081844,,Our
1771,The Virginia Gazette,our,5.377789728421619,,Our
1772,The South Carolina Gazette,our,0,,Our
1772,The Virginia Gazette,our,0,,Our
1773,The South Carolina Gazette,our,0,,Our
1773,The Virginia Gazette,our,100.50251256281408,,Our
1774,The South Carolina Gazette,our,19.854401058901388,,Our
1774,The Virginia Gazette,our,90.43927648578811,,Our
1775,The South Carolina Gazette,our,0,,Our
1775,The Virginia Gazette,our,25.92352559948153,,Our
1732,The South Carolina Gazette,they,23.31002331002331,,They
1733,The South Carolina Gazette,they,59.68529571351058,,They
1734,The South Carolina Gazette,they,220.95509622238063,,They
1735,The South Carolina Gazette,they,61.633281972265024,,They
1736,The South Carolina Gazette,they,45.924225028702644,,They
1736,The Virginia Gazette,they,17.83590963,,They
1737,The South Carolina Gazette,they,38.07106598984772,,They
1737,The Virginia Gazette,they,26.845637583892614,,They
1738,The South Carolina Gazette,they,43.84042086804033,,They
1738,The Virginia Gazette,they,61.62464985994398,,They
1739,The South Carolina Gazette,they,0,,They
1739,The Virginia Gazette,they,139.3497014,,They
1740,The South Carolina Gazette,they,77.13248638838476,,They
1741,The South Carolina Gazette,they,47.961630695443645,,They
1742,The South Carolina Gazette,they,23.832221163012395,,They
1743,The South Carolina Gazette,they,57.49486652977412,,They
1744,The South Carolina Gazette,they,54.29864253393665,,They
1745,The South Carolina Gazette,they,22.624434389140273,,They
1745,The Virginia Gazette,they,148.6013986013986,,They
1746,The South Carolina Gazette,they,43.53233830845771,,They
1746,The Virginia Gazette,they,142.71653543307087,,They
1747,The South Carolina Gazette,they,86.87837028160575,,They
1748,The South Carolina Gazette,they,60.77940650697175,,They
1749,The South Carolina Gazette,they,87.46355685131195,,They
1750,The South Carolina Gazette,they,113.12217194570135,,They
1751,The South Carolina Gazette,they,0,,They
1751,The Virginia Gazette,they,43.78283712784589,,They
1752,The South Carolina Gazette,they,163.04347826086956,,They
1752,The Virginia Gazette,they,84.63541666666666,,They
1753,The South Carolina Gazette,they,62.5,,They
1754,The South Carolina Gazette,they,0,,They
1754,The Virginia Gazette,they,250,,They
1755,The South Carolina Gazette,they,172.76422764227644,,They
1755,The Virginia Gazette,they,45.088566827697264,,They
1756,The South Carolina Gazette,they,44.69273743,,They
1756,The Virginia Gazette,they,0,,They
1757,The South Carolina Gazette,they,0,,They
1759,The South Carolina Gazette,they,90.76348104644954,,They
1760,The South Carolina Gazette,they,132.94422827496757,,They
1761,The South Carolina Gazette,they,33.78378378378378,,They
1761,The Virginia Gazette,they,0,,They
1762,The South Carolina Gazette,they,139.1862955,,They
1763,The South Carolina Gazette,they,55.749128919860624,,They
