Row Labels,Passive voice,Active voice
1734,10,0
1737,8.125,1.875
1740,10,0
1743,0,0
1746,0,0
1749,0,0
1752,10,0
1755,0,0
1758,0,0
1761,0,0
1764,10,0
1767,8.235294118,1.764705882
1770,9.166666667,0.833333333
1773,8.5,1.5
1776,8.235294118,1.764705882
