Row Labels,Passive voice,Active voice
1732,10,0
1733,0,0
1734,5,5
1735,8.333333333,1.666666667
1736,5,5
1737,6.25,3.75
1738,6,4
1739,0,0
1740,10,0
1741,10,0
1742,7.5,2.5
1743,8,2
1744,10,0
1745,10,0
1746,8.888888889,1.111111111
1747,8.333333333,1.666666667
1748,8.571428571,1.428571429
1749,10,0
Grand Total,131.8769841,28.12301587
