Year of arrival at port of disembarkation,Voyage ID,Vessel name,,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name,,Date,latitude,longitude
1735,100188,Mary,,"Barbados, place unspecified",Charleston,33,"Outerbridge, John",,1735-01-01,32.78096,-79.93554
1735,100189,Little Gypsy,,Providence,Charleston,6,"Kip, Jacobus",,1735-01-01,32.78096,-79.93554
1735,100190,Catherine,,Havana,Charleston,1,"Wilson, George",,1735-01-01,32.78096,-79.93554
1735,100191,Flying Squirrel,,"Antigua, place unspecified",Charleston,18,"Wentworth, Samuel",,1735-01-01,32.78096,-79.93554
1735,100192,Fancy,,"Jamaica, place unspecified",Charleston,18,"Vardill, Thomas",,1735-01-01,32.78096,-79.93554
1735,100193,Pomroy,,"Barbados, place unspecified",Charleston,4,"Rous, John",,1735-01-01,32.78096,-79.93554
1735,100194,,,Boston,Charleston,,"Knox, Andrew",,1735-01-01,32.78096,-79.93554
1735,100195,Ellin,,"Barbados, place unspecified",Charleston,,"Wallace, Samuel",,1735-01-01,32.78096,-79.93554
1735,100196,Prince Frederick [?],,New York,Charleston,,"Wilson, Joseph",,1735-01-01,32.78096,-79.93554
1735,100197,[Elizabeth?],,"St. Kitts, port unspecified",Charleston,,"Newton, Sam",,1735-01-01,32.78096,-79.93554
1735,100809,[Carolina??],,Providence,Charleston,,"Fox, George",,1735-01-01,32.78096,-79.93554
1735,120086,,,"Barbados, place unspecified",Charleston,,,,1735-01-01,32.78096,-79.93554
1736,100167,Three Sisters,,Boston,Charleston,2,"Merret, Phil.",,1736-01-01,32.78096,-79.93554
1736,100198,Lake,,"Barbados, place unspecified",Charleston,13,"Pharnt, John",,1736-01-01,32.78096,-79.93554
1736,100199,Elizabeth and Lavenia,,Curaçao,Charleston,18,"Porter, Thomas",,1736-01-01,32.78096,-79.93554
1736,100200,Carolina,,"Barbados, place unspecified",Charleston,20,"Metland, Joseph",,1736-01-01,32.78096,-79.93554
1736,100201,Martha,,"Antigua, place unspecified",Charleston,2,"Pollock, C.",,1736-01-01,32.78096,-79.93554
1736,100202,Sweet Nelly,,"Barbados, place unspecified",Charleston,2,"Hamilton, William",,1736-01-01,32.78096,-79.93554
1736,100203,Two Brothers,,"Barbados, place unspecified",Charleston,1,"Grafton, Joseph",,1736-01-01,32.78096,-79.93554
1736,100204,Antigua,,"Antigua, place unspecified",Charleston,5,"Richards, William",,1736-01-01,32.78096,-79.93554
1736,100205,King David,,"Antigua, place unspecified",Charleston,1,"Snow, John",,1736-01-01,32.78096,-79.93554
1736,100206,Dorothy,,"Antigua, place unspecified",Charleston,3,"Douglas, William",,1736-01-01,32.78096,-79.93554
1736,100207,,,"North Carolina, port unspecified",Charleston,,"Vaughan, William",,1736-01-01,32.78096,-79.93554
1736,100208,Nottingham,,"Montserrat, port unspecified",Charleston,15,"Parmyter, Thomas",,1736-01-01,32.78096,-79.93554
1736,100209,Charles (a) Don Carlos,,"Jamaica, place unspecified",Charleston,15,"Fenell, Edward",,1736-01-01,32.78096,-79.93554
1736,100210,Tincosdale,,British Leewards,Charleston,2,"Wentworth, Samuel",,1736-01-01,32.78096,-79.93554
1736,100211,Dorothy [?--blank],,"Antigua, place unspecified",Charleston,,"Douglas, William",,1736-01-01,32.78096,-79.93554
1737,100212,,,"Montserrat, port unspecified",Charleston,,"Sherrett, John",,1737-01-01,32.78096,-79.93554
1737,100213,Midnight [?],,New York,Charleston,,"Tucker, James",,1737-01-01,32.78096,-79.93554
1737,100214,,,Mobile,Charleston,,"Colcock, John",,1737-01-01,32.78096,-79.93554
1737,100215,Little Gypsy,,"Jamaica, place unspecified",Charleston,4,"Smith, John",,1737-01-01,32.78096,-79.93554
