,five_year_interval,total_sentences,consequence_passives,active_consequence_sentences,consequence_passives_per_10_sentences,active_consequence_per_10_sentences,consequence_passives_per_20_sentences,active_consequence_per_20_sentences
0,1735,18,15,3,8.333333333333334,1.6666666666666665,16.666666666666668,3.333333333333333
1,1740,1,1,0,10.0,0.0,20.0,0.0
2,1745,0,0,0,0.0,0.0,0.0,0.0
3,1750,1,1,0,10.0,0.0,20.0,0.0
4,1755,0,0,0,0.0,0.0,0.0,0.0
5,1760,0,0,0,0.0,0.0,0.0,0.0
6,1765,19,16,3,8.421052631578947,1.5789473684210527,16.842105263157894,3.1578947368421053
7,1770,23,20,3,8.695652173913043,1.3043478260869565,17.391304347826086,2.608695652173913
8,1775,49,42,7,8.571428571428571,1.4285714285714284,17.142857142857142,2.8571428571428568
