Year,Percentage Consequence Passives
1732,10.52631579
1734,28.26086957
1735,20
1736,0
1737,37.93103448
1739,28.57142857
1740,21.42857143
1741,21.42857143
1742,0
1743,50
1745,40
1749,25
1750,22.22222222
1761,5.660377358
1762,13.33333333
1763,42.85714286
1765,0
1769,9.090909091
1772,33.33333333
1773,28.57142857
1774,0
1775,0
