interval,total_sentences,consequence_passives,active_consequence_sentences,consequence_passives_per_10_sentences,active_consequence_per_10_sentences
1731,2,0,0,0,0
1734,12,0,4,0,3.333333333
1737,18,0,7,0,3.888888889
1740,11,0,1,0,0.909090909
1743,16,0,1,0,0.625
1746,22,0,3,0,1.363636364
1749,16,0,4,0,2.5
1752,11,0,0,0,0
1755,15,0,3,0,2
1758,8,0,1,0,1.25
1761,13,0,2,0,1.538461538
1764,13,0,1,0,0.769230769
1767,10,0,2,0,2
1770,16,0,5,0,3.125
1773,8,0,0,0,0
1776,10,0,2,0,2
